scenario,time,from,to
4robot_180s_chain,4.777473,3,2
4robot_180s_chain,4.777473,2,3
4robot_180s_chain,4.897473,2,3
4robot_180s_chain,5.157473,2,4
4robot_180s_chain,6.317473,4,2
4robot_180s_chain,6.437473,2,4
4robot_180s_chain,6.437473,3,2
4robot_180s_chain,6.917473,2,4
4robot_180s_chain,8.017472,2,4
4robot_180s_chain,8.037473,3,2
4robot_180s_chain,8.517472,2,4
4robot_180s_chain,8.577473,3,2
4robot_180s_chain,8.877473,2,3
4robot_180s_chain,9.377473,2,4
4robot_180s_chain,9.417473,3,2
4robot_180s_chain,9.497473,2,3
4robot_180s_chain,9.597473,3,2
4robot_180s_chain,9.977472,4,2
4robot_180s_chain,10.57747,2,3
4robot_180s_chain,10.99747,5,4
4robot_180s_chain,11.13747,4,5
4robot_180s_chain,11.23747,5,4
4robot_180s_chain,11.37747,2,4
4robot_180s_chain,11.45747,4,5
4robot_180s_chain,11.59747,2,4
4robot_180s_chain,11.63747,2,3
4robot_180s_chain,11.69747,4,2
4robot_180s_chain,11.73747,3,2
4robot_180s_chain,11.73747,5,4
4robot_180s_chain,11.87747,4,5
4robot_180s_chain,12.15747,2,3
4robot_180s_chain,12.15747,4,5
4robot_180s_chain,12.41747,4,2
4robot_180s_chain,12.47747,5,4
4robot_180s_chain,12.47747,2,4
4robot_180s_chain,12.69747,5,4
4robot_180s_chain,12.71747,2,3
4robot_180s_chain,12.97747,3,2
4robot_180s_chain,13.15747,4,2
4robot_180s_chain,13.19747,2,3
4robot_180s_chain,13.51747,5,4
4robot_180s_chain,13.57747,4,5
4robot_180s_chain,13.81747,3,2
4robot_180s_chain,13.89747,2,4
4robot_180s_chain,14.03747,5,4
4robot_180s_chain,15.05747,3,2
4robot_180s_chain,15.29747,4,5
4robot_180s_chain,15.41747,5,4
4robot_180s_chain,15.61747,5,4
4robot_180s_chain,15.99747,2,4
4robot_180s_chain,16.19747,2,3
4robot_180s_chain,16.27747,3,2
4robot_180s_chain,16.49747,2,3
4robot_180s_chain,16.51747,2,4
4robot_180s_chain,16.57747,3,2
4robot_180s_chain,16.69747,2,3
