index,robot ,trial,scenario,time,left_sep,right_sep,y_pos,vel
0,left,1,s_-5_5,0,-5,5,0,0
1,left,1,s_-5_5,1,-5,5,0,0.06
2,left,1,s_-5_5,2,-5,5,0,0.11
3,left,1,s_-5_5,3,-5,5,0,0.06
4,left,1,s_-5_5,4,-5,5,0,0.08
5,left,1,s_-5_5,5,-5,5,0,0.09
6,left,1,s_-5_5,6,-5,5,0,0.09
7,left,1,s_-5_5,7,-5,5,0,0.09
8,left,1,s_-5_5,8,-5,5,0,0.09
9,left,1,s_-5_5,9,-5,5,0,0.08
10,left,1,s_-5_5,10,-5,5,0,0.09
11,left,1,s_-5_5,11,-5,5,0,0.08
12,left,1,s_-5_5,12,-5,5,0,0.09
13,left,1,s_-5_5,13,-5,5,0,0.09
14,left,1,s_-5_5,14,-5,5,0,0.10
15,left,1,s_-5_5,15,-5,5,0.01,0.09
16,left,1,s_-5_5,16,-5,5,0.01,0.09
17,left,1,s_-5_5,17,-5,5,0.01,0.09
18,left,1,s_-5_5,18,-5,5,0.01,0.08
19,left,1,s_-5_5,19,-5,5,0.01,0.10
20,left,1,s_-5_5,20,-5,5,0.01,0.09
21,left,1,s_-5_5,21,-5,5,0.02,0.09
22,left,1,s_-5_5,22,-5,5,0.02,0.09
23,left,1,s_-5_5,23,-5,5,0.02,0.10
24,left,1,s_-5_5,24,-5,5,0.02,0.09
25,left,1,s_-5_5,25,-5,5,0.02,0.09
26,left,1,s_-5_5,26,-5,5,0.02,0.09
27,left,1,s_-5_5,27,-5,5,0.03,0.10
28,left,1,s_-5_5,28,-5,5,0.03,0.10
29,left,1,s_-5_5,29,-5,5,0.03,0.10
30,left,1,s_-5_5,30,-5,5,0.03,0.09
31,left,1,s_-5_5,31,-5,5,0.03,0.10
32,left,1,s_-5_5,32,-5,5,0.04,0.09
33,left,1,s_-5_5,33,-5,5,0.04,0.10
34,left,1,s_-5_5,34,-5,5,0.04,0.10
35,left,1,s_-5_5,35,-5,5,0.05,0.10
36,left,1,s_-5_5,36,-5,5,0.05,0.11
37,left,1,s_-5_5,37,-5,5,0.05,0.09
38,left,1,s_-5_5,38,-5,5,0.05,0.11
39,left,1,s_-5_5,39,-5,5,0.06,0.11
40,left,1,s_-5_5,40,-5,5,0.06,0.11
41,left,1,s_-5_5,41,-5,5,0.06,0.10
42,left,1,s_-5_5,42,-5,5,0.07,0.11
43,left,1,s_-5_5,43,-5,5,0.07,0.11
44,left,1,s_-5_5,44,-5,5,0.08,0.11
45,left,1,s_-5_5,45,-5,5,0.08,0.11
46,left,1,s_-5_5,46,-5,5,0.09,0.12
47,left,1,s_-5_5,47,-5,5,0.10,0.12
48,left,1,s_-5_5,48,-5,5,0.10,0.12
49,left,1,s_-5_5,49,-5,5,0.11,0.12
50,left,1,s_-5_5,50,-5,5,0.11,0.13
51,left,1,s_-5_5,51,-5,5,0.12,0.12
