Scenario,Trial,Time,DN1,DN2,DN3,DN4,DN5
analog_curve,1,1,0.00002,0.000009,0,0.000003,0.000005
analog_curve,1,2,0.000195,0.002067,0.000057,0.002776,0.00014
analog_curve,1,3,0.000164,0.001161,0.000084,0.000546,0.000146
analog_curve,1,4,0.000203,0.000186,0.000062,0.000188,0.000341
analog_curve,1,5,0.000209,0.00052,0.000033,0.000714,0.000172
analog_curve,1,6,0.000239,0.000094,0.000065,0.000056,0.00019
analog_curve,1,7,0.00026,0.000434,0.000048,0.000404,0.000126
analog_curve,1,8,0.000169,0.000244,0.000051,0.000123,0.000242
analog_curve,1,9,0.000138,0.000082,0.00004,0.000093,0.000066
analog_curve,1,10,0.000138,0.00015,0.00008,0.000186,0.000088
analog_curve,1,11,0.00013,0.000118,0.000034,0.000032,0.000077
analog_curve,1,12,0.00009,0.000074,0.000241,0.000029,0.000025
analog_curve,1,13,0.000085,0.000044,0.001107,0.000079,0.000089
analog_curve,1,14,0.000268,0.000036,0.000966,0.000066,0.000016
analog_curve,1,15,0.000133,0.000029,0.000101,0.000052,0.000026
analog_curve,1,16,0.0055,0.000244,0.001478,0.000497,0.000071
analog_curve,1,17,0.000301,0.000042,0.000051,0.000206,0.000124
analog_curve,1,18,0.000051,0.000036,0.000036,0.000043,0.000027
analog_curve,1,19,0.000083,0.000062,0.000037,0.000055,0.000064
analog_curve,1,20,0.000115,0.000033,0.00003,0.00002,0.000032
analog_curve,1,21,0.000059,0.000053,0.000026,0.000013,0.000038
analog_curve,1,22,0.00044,0.000071,0.000516,0.000922,0.000035
analog_curve,1,23,0.000244,0.000032,0.003515,0.001205,0.000827
analog_curve,1,24,0.000169,0.000089,0.000181,0.000091,0.000038
analog_curve,1,25,0.000088,0.00004,0.000781,0.000261,0.000068
analog_curve,1,26,0.000228,0.000073,0.000476,0.000037,0.000044
analog_curve,1,27,0.002897,0.001669,0.008647,0.000655,0.007576
analog_curve,1,28,0.004242,0.004374,0.000139,0.019613,0.005984
analog_curve,1,29,0.00029,0.00027,0.000016,0.001794,0.000342
